Name,AthleteUrl,Gender,Height,Active,Participations,Age,Country
Carlos Felipe GRANJA LOPEZ,https://ifsc.results.info/#/athlete/3211,Men,176,2013,84,25,ECU
Isaac ESTEVEZ,https://ifsc.results.info/#/athlete/3208,Men,-,2007,48,31,ECU
Erik NOYA CARDONA,https://ifsc.results.info/#/athlete/11701,Men,-,2019,31,29,ESP
Marius PAYET GABORIAUD,https://ifsc.results.info/#/athlete/11737,Men,-,2019,20,18,FRA
Yann LE CLERCQ DE LANNOY,https://ifsc.results.info/#/athlete/613,Men,-,2018,14,24,FRA
Guillaume MORO,https://ifsc.results.info/#/athlete/474,Men,171,2010,74,29,FRA
Bassa MAWEM,https://ifsc.results.info/#/athlete/7613,Men,183,1997,86,39,FRA
Rafe STOKES,https://ifsc.results.info/#/athlete/13805,Men,180,2022,14,18,GBR
Sebastian LUCKE,https://ifsc.results.info/#/athlete/11602,Men,180,2019,32,21,GER
Leander CARMANNS,https://ifsc.results.info/#/athlete/3115,Men,-,2019,42,19,GER
Cheuk-nam WONG,https://ifsc.results.info/#/athlete/2240,Men,-,2017,31,22,HKG
Veddriq LEONARDO,https://ifsc.results.info/#/athlete/3340,Men,162,2018,29,26,INA
Kiromal KATIBIN,https://ifsc.results.info/#/athlete/3324,Men,-,2017,25,23,INA
Zainal ARIPIN,https://ifsc.results.info/#/athlete/11175,Men,-,2014,18,31,INA
Rahmad ADI MULYONO,https://ifsc.results.info/#/athlete/11415,Men,-,2018,15,23,INA
Aspar ASPAR,https://ifsc.results.info/#/athlete/3278,Men,-,2012,60,31,INA
Alfian MUHAMMAD FAJRI,https://ifsc.results.info/#/athlete/3270,Men,-,2011,46,27,INA
Deepu MALLESH,https://ifsc.results.info/#/athlete/11702,Men,-,2019,7,26,IND
Milad ALIPOURSHENAZANDIFARD,https://ifsc.results.info/#/athlete/3551,Men,-,2016,10,24,IRI
Reza ALIPOUR SHENAZANDIFARD,https://ifsc.results.info/#/athlete/3471,Men,171,2011,63,29,IRI
Alessandro BOULOS,https://ifsc.results.info/#/athlete/6283,Men,-,2009,34,29,ITA
Ludovico FOSSALI,https://ifsc.results.info/#/athlete/865,Men,185,2011,115,26,ITA
Matteo ZURLONI,https://ifsc.results.info/#/athlete/1027,Men,-,2018,33,21,ITA
Gian Luca ZODDA,https://ifsc.results.info/#/athlete/899,Men,169,2013,73,24,ITA
Ryo OMASA,https://ifsc.results.info/#/athlete/11381,Men,-,2018,19,21,JPN
Motonori TABUCHI,https://ifsc.results.info/#/athlete/14001,Men,-,2022,7,16,JPN
Jun YASUKAWA,https://ifsc.results.info/#/athlete/12317,Men,172,2021,14,20,JPN
Yudai IKEDA,https://ifsc.results.info/#/athlete/2391,Men,-,2018,15,26,JPN
Shuto FUJINO,https://ifsc.results.info/#/athlete/13043,Men,-,2021,17,19,JPN
Rishat KHAIBULLIN,https://ifsc.results.info/#/athlete/3361,Men,170,2009,63,28,KAZ
Damir TOKTAROV,https://ifsc.results.info/#/athlete/13060,Men,-,2021,6,16,KAZ
Amir MAIMURATOV,https://ifsc.results.info/#/athlete/3362,Men,182,2009,60,28,KAZ
Zhandos KALIBAY,https://ifsc.results.info/#/athlete/14443,Men,-,2023,3,21,KAZ
Yongjun JUNG,https://ifsc.results.info/#/athlete/13153,Men,167,2022,16,20,KOR
Minsu KANG,https://ifsc.results.info/#/athlete/11892,Men,174,2019,12,22,KOR
Seungbeom LEE,https://ifsc.results.info/#/athlete/2069,Men,-,2015,22,24,KOR
Yongsu LEE,https://ifsc.results.info/#/athlete/2076,Men,-,2015,27,25,KOR
Taeung MOON,https://ifsc.results.info/#/athlete/13155,Men,166,2022,7,22,KOR
Jongbin CHOI,https://ifsc.results.info/#/athlete/2122,Men,-,2017,5,24,KOR
Dong Jun KIM,https://ifsc.results.info/#/athlete/14468,Men,-,2023,4,17,KOR
Younghyun KIM,https://ifsc.results.info/#/athlete/2064,Men,-,2014,10,26,KOR
Euncheol SHIN,https://ifsc.results.info/#/athlete/2099,Men,173,2016,20,24,KOR
Flynn CHISHOLM,https://ifsc.results.info/#/athlete/13914,Men,-,2022,8,18,NZL
Julian DAVID,https://ifsc.results.info/#/athlete/13915,Men,-,2022,8,18,NZL
Marcin DZIENSKI,https://ifsc.results.info/#/athlete/2845,Men,166,2007,129,31,POL
Yaroslav TKACH,https://ifsc.results.info/#/athlete/1511,Men,182,2015,64,22,UKR
Danyil BOLDYREV,https://ifsc.results.info/#/athlete/1480,Men,-,2006,85,31,UKR
Zach HAMMER,https://ifsc.results.info/#/athlete/13592,Men,-,2022,14,17,USA
Quinn O'FRANCIA,https://ifsc.results.info/#/athlete/11886,Men,175,2019,22,19,USA
Noah BRATSCHI,https://ifsc.results.info/#/athlete/1798,Men,184,2015,30,23,USA
Samuel WATSON,https://ifsc.results.info/#/athlete/13034,Men,178,2021,18,17,USA
John BROSLER,https://ifsc.results.info/#/athlete/1754,Men,179,2012,70,26,USA
Merritt ERNSBERGER,https://ifsc.results.info/#/athlete/1908,Men,173,2017,11,24,USA
Darren SKOLNIK,https://ifsc.results.info/#/athlete/1936,Men,170,2017,19,21,USA
Iris HEIKKINEN,https://ifsc.results.info/#/athlete/13902,Women,-,2022,6,17,FIN
Eugenie LEE,https://ifsc.results.info/#/athlete/676,Women,-,2014,15,23,GBR
Tseng-shun WONG,https://ifsc.results.info/#/athlete/2229,Women,-,2015,25,22,HKG
Wai-mui LING,https://ifsc.results.info/#/athlete/2235,Women,-,2016,10,22,HKG
Dasom YUN,https://ifsc.results.info/#/athlete/11805,Women,-,2019,19,18,KOR
Seunghyun KIM,https://ifsc.results.info/#/athlete/2051,Women,-,2012,27,26,KOR
Chaeyeong KIM,https://ifsc.results.info/#/athlete/14031,Women,150,2022,11,16,KOR
Gayeon CHO,https://ifsc.results.info/#/athlete/2081,Women,162,2017,10,21,KOR
Jain KIM,https://ifsc.results.info/#/athlete/2035,Women,152,2002,214,35,KOR
Vanessa Si Yinn TENG,https://ifsc.results.info/#/athlete/3632,Women,169,2011,37,27,SGP
Natalie GOH SIHUI,https://ifsc.results.info/#/athlete/13815,Women,-,2022,9,16,SGP
